"Sample","Subset","Spots_In_Subset","Pct_Spots_In_Subset","MT_Min","MT_Median","MT_Max","X_Variable","Y_Variable","X_Column","Y_Column","N","Pearson_r","Pearson_p","Pearson_log10_p","Pearson_CI_low","Pearson_CI_high","Spearman_rho","Spearman_p","Spearman_log10_p","Spearman_CI_low","Spearman_CI_high"
"sample1","percent_mt_ge_10",244,2.08,10.042,14.552,33.591,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",244,0.223460535200132,0.000436090339865684,-3.36042353357306,0.100700725920018,0.339518293661625,0.222834802265679,0.00045299056420408,-3.34391084424938,0.0963524330112937,0.342234992634339
"sample1","percent_mt_ge_10",244,2.08,10.042,14.552,33.591,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",244,-0.524485825979097,1.20223288332852e-18,-17.9200113974348,-0.609898840853235,-0.427027440767093,-0.518747341073649,3.28714899745817e-18,-17.4831806100932,-0.607285241090462,-0.417482799090633
"sample1","percent_mt_ge_10",244,2.08,10.042,14.552,33.591,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",244,0.146722969812205,0.0218746212488887,-1.66005945789155,0.0215339396008815,0.267381925211917,0.108936906297766,0.0895138727651938,-1.04810965296917,-0.0206109322929465,0.234887096315943
"sample1","percent_mt_ge_10",244,2.08,10.042,14.552,33.591,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",244,-0.0380667732455407,0.553995822510371,-0.256493510122715,-0.162873951951594,0.0879394558241341,0.198280113502596,0.00185642804469337,-2.73132187940213,0.0708380187214687,0.319352965265981
"sample1","percent_mt_ge_10",244,2.08,10.042,14.552,33.591,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",244,-0.105860895967333,0.0989945945101742,-1.00438851892261,-0.228410090451022,0.0199906944452822,-0.1149329671621,0.073127470674124,-1.13591944765148,-0.240616002684755,0.014540666012031
"sample1","percent_mt_Q1",2928,25.01,1.616,2.773,3.002,"Shannon Entropy (Raw Plug-in)","Stemness Score","entropy_raw_plugin","Stemness_Score1",2928,0.00749358314681184,0.685243920432868,-0.164154808884663,-0.0287381081567596,0.0437056098396693,0.0549925413884183,0.00291384944470061,-2.53553289149015,0.0177351151415778,0.0920974593330249
"sample1","percent_mt_Q1",2928,25.01,1.616,2.773,3.002,"Shannon Entropy (Raw Plug-in)","Percent_MT","entropy_raw_plugin","percent.mt",2928,0.14711913405141,1.23478259242661e-15,-14.9084095016927,0.111489395956447,0.182371127282113,0.0628371337463567,0.000668725241020173,-3.17475228405463,0.0256033346542593,0.0998968308275652
"sample1","percent_mt_Q1",2928,25.01,1.616,2.773,3.002,"Shannon Entropy (SpaNorm Plug-in)","Stemness Score","entropy_spanorm_plugin","Stemness_Score1",2928,-0.0585505122434694,0.00152652576089999,-2.81629586236282,-0.0945738184840874,-0.0223740755941724,-0.0550958046783857,0.00286109066290698,-2.54346837995202,-0.0922001569322463,-0.0178386594867637
"sample1","percent_mt_Q1",2928,25.01,1.616,2.773,3.002,"Shannon Entropy (SpaNorm Plug-in)","Percent_MT","entropy_spanorm_plugin","percent.mt",2928,0.0516379516989218,0.00519233910165397,-2.28463695234635,0.0154429477194407,0.0876978009880101,0.0368376690894457,0.0462452070420878,-1.3349332718555,-0.000456757264838543,0.0740297646219025
"sample1","percent_mt_Q1",2928,25.01,1.616,2.773,3.002,"Stemness Score","Percent_MT","Stemness_Score1","percent.mt",2928,-0.111267561307811,1.5702377135859e-09,-8.80403459607241,-0.146899367389251,-0.075347361722815,-0.104782514702128,1.32263049622799e-08,-7.8785614678782,-0.141523277661911,-0.0677534786936968
