"gene_id","gene_name","samples_detected","total_counts","is_deprecated_probe","is_universe"
"ENSG00000211445","GPX3",22,500813,FALSE,TRUE
"ENSG00000145901","TNIP1",22,479852,FALSE,TRUE
"ENSG00000197043","ANXA6",22,1176193,FALSE,TRUE
"ENSG00000254298","AC008641.1",0,0,FALSE,FALSE
"ENSG00000198624","CCDC69",22,22542,FALSE,TRUE
"ENSG00000196743","GM2A",22,197876,FALSE,TRUE
"ENSG00000186334","SLC36A3",22,2741,FALSE,TRUE
"ENSG00000186335","SLC36A2",22,3785,FALSE,TRUE
"ENSG00000123643","SLC36A1",22,79187,FALSE,TRUE
"ENSG00000086570","FAT2",22,6967,FALSE,TRUE
"ENSG00000271795","AC011337.1",0,0,FALSE,FALSE
"ENSG00000288081","AC011374.3",0,0,FALSE,FALSE
"ENSG00000260581","AC011374.1",0,0,FALSE,FALSE
"ENSG00000113140","SPARC",22,6717441,FALSE,TRUE
"ENSG00000249035","CLMAT3",0,0,FALSE,FALSE
"ENSG00000272112","AC011374.2",0,0,FALSE,FALSE
"ENSG00000177556","ATOX1",22,435678,FALSE,TRUE
"ENSG00000253921","AC091982.1",0,0,FALSE,FALSE
"ENSG00000275765","AC091982.3",0,0,FALSE,FALSE
"ENSG00000145907","G3BP1",0,0,FALSE,FALSE
"ENSG00000145888","GLRA1",22,5391,FALSE,TRUE
"ENSG00000254226","LINC01933",0,0,FALSE,FALSE
"ENSG00000286749","AC008571.2",0,0,FALSE,FALSE
"ENSG00000132911","NMUR2",22,4483,FALSE,TRUE
"ENSG00000249484","LINC01470",0,0,FALSE,FALSE
"ENSG00000155511","GRIA1",22,45987,FALSE,TRUE
"ENSG00000251183","LINC01861",0,0,FALSE,FALSE
"ENSG00000261382","AC091962.1",0,0,FALSE,FALSE
"ENSG00000055147","FAM114A2",22,195342,FALSE,TRUE
"ENSG00000037749","MFAP3",22,14768,FALSE,TRUE
"ENSG00000164574","GALNT10",22,755069,FALSE,TRUE
"ENSG00000245275","SAP30L-AS1",0,0,FALSE,FALSE
"ENSG00000287695","AC008625.1",0,0,FALSE,FALSE
"ENSG00000164576","SAP30L",22,246275,FALSE,TRUE
"ENSG00000113196","HAND1",22,4875,FALSE,TRUE
"ENSG00000254293","AC026688.2",0,0,FALSE,FALSE
"ENSG00000155506","LARP1",22,273822,FALSE,TRUE
"ENSG00000170271","FAXDC2",22,262834,FALSE,TRUE
"ENSG00000155508","CNOT8",22,527417,FALSE,TRUE
"ENSG00000082516","GEMIN5",22,126739,FALSE,TRUE
"ENSG00000082515","MRPL22",0,0,FALSE,FALSE
"ENSG00000226650","KIF4B",22,6742,FALSE,TRUE
"ENSG00000287963","AC010476.2",0,0,FALSE,FALSE
"ENSG00000170624","SGCD",22,144756,FALSE,TRUE
"ENSG00000286690","AC011351.1",0,0,FALSE,FALSE
"ENSG00000254163","AC025434.1",0,0,FALSE,FALSE
"ENSG00000231989","PPP1R2B",22,4552,FALSE,TRUE
"ENSG00000145850","TIMD4",22,10896,FALSE,TRUE
"ENSG00000113249","HAVCR1",22,2045,FALSE,TRUE
"ENSG00000135077","HAVCR2",22,147792,FALSE,TRUE
"ENSG00000254246","AC011377.1",0,0,FALSE,FALSE
"ENSG00000155868","MED7",22,63913,FALSE,TRUE
"ENSG00000113263","ITK",22,10745,FALSE,TRUE
"ENSG00000170613","FAM71B",22,4058,FALSE,TRUE
"ENSG00000253980","AC010609.1",0,0,FALSE,FALSE
"ENSG00000253653","AC009185.1",0,0,FALSE,FALSE
"ENSG00000055163","CYFIP2",22,139585,FALSE,TRUE
"ENSG00000172568","FNDC9",22,6620,FALSE,TRUE
"ENSG00000251405","AC016571.1",0,0,FALSE,FALSE
"ENSG00000248544","AC008676.1",0,0,FALSE,FALSE
"ENSG00000135074","ADAM19",22,55115,FALSE,TRUE
"ENSG00000172548","NIPAL4",22,8497,FALSE,TRUE
"ENSG00000253519","AC106801.1",0,0,FALSE,FALSE
"ENSG00000039600","SOX30",22,5096,FALSE,TRUE
"ENSG00000187658","C5orf52",22,1493,FALSE,TRUE
"ENSG00000113272","THG1L",22,109825,FALSE,TRUE
"ENSG00000155858","LSM11",22,49580,FALSE,TRUE
"ENSG00000113282","CLINT1",22,469925,FALSE,TRUE
"ENSG00000253792","AC025437.5",0,0,FALSE,FALSE
"ENSG00000253673","AC025437.4",0,0,FALSE,FALSE
"ENSG00000253449","AC025437.3",0,0,FALSE,FALSE
"ENSG00000253424","AC025437.2",0,0,FALSE,FALSE
"ENSG00000253134","AC025437.1",0,0,FALSE,FALSE
"ENSG00000276778","LINC02227",0,0,FALSE,FALSE
"ENSG00000254350","AC091979.1",0,0,FALSE,FALSE
"ENSG00000272085","AC091979.2",0,0,FALSE,FALSE
"ENSG00000254135","AC091939.1",0,0,FALSE,FALSE
"ENSG00000164330","EBF1",22,290336,FALSE,TRUE
"ENSG00000253811","AC136424.2",0,0,FALSE,FALSE
"ENSG00000253456","AC136424.1",0,0,FALSE,FALSE
"ENSG00000245812","LINC02202",0,0,FALSE,FALSE
"ENSG00000145860","RNF145",22,163274,FALSE,TRUE
"ENSG00000253256","AC134043.2",0,0,FALSE,FALSE
"ENSG00000253315","LINC01932",0,0,FALSE,FALSE
"ENSG00000164332","UBLCP1",22,290907,FALSE,TRUE
"ENSG00000249738","AC008691.1",0,0,FALSE,FALSE
"ENSG00000113302","IL12B",22,5283,FALSE,TRUE
"ENSG00000253298","LINC01845",0,0,FALSE,FALSE
"ENSG00000283413","AC008703.1",0,0,FALSE,FALSE
"ENSG00000253311","LINC01847",0,0,FALSE,FALSE
"ENSG00000170214","ADRA1B",22,53840,FALSE,TRUE
"ENSG00000113312","TTC1",22,294384,FALSE,TRUE
"ENSG00000170234","PWWP2A",22,160805,FALSE,TRUE
"ENSG00000170231","FABP6",22,17586,FALSE,TRUE
"ENSG00000247699","AC008609.1",0,0,FALSE,FALSE
"ENSG00000135083","CCNJL",22,8259,FALSE,TRUE
"ENSG00000145861","C1QTNF2",22,16876,FALSE,TRUE
"ENSG00000221886","ZBED8",22,67518,FALSE,TRUE
"ENSG00000164609","SLU7",22,393403,FALSE,TRUE
"ENSG00000164611","PTTG1",22,17566,FALSE,TRUE
"ENSG00000253522","MIR3142HG",0,0,FALSE,FALSE
"ENSG00000118322","ATP10B",22,10639,FALSE,TRUE
"ENSG00000253687","AC008456.1",0,0,FALSE,FALSE
"ENSG00000254391","AC011363.1",0,0,FALSE,FALSE
"ENSG00000253417","LINC02159",0,0,FALSE,FALSE
"ENSG00000145864","GABRB2",22,162196,FALSE,TRUE
"ENSG00000145863","GABRA6",22,4635,FALSE,TRUE
"ENSG00000253403","AC091944.1",0,0,FALSE,FALSE
"ENSG00000022355","GABRA1",22,41293,FALSE,TRUE
"ENSG00000280776","LINC01202",0,0,FALSE,FALSE
"ENSG00000113327","GABRG2",22,32622,FALSE,TRUE
"ENSG00000254186","AC113414.1",0,0,FALSE,FALSE
"ENSG00000113328","CCNG1",22,989532,FALSE,TRUE
"ENSG00000170584","NUDCD2",22,221961,FALSE,TRUE
"ENSG00000072571","HMMR",22,19792,FALSE,TRUE
"ENSG00000251018","HMMR-AS1",0,0,FALSE,FALSE
"ENSG00000038274","MAT2B",22,408938,FALSE,TRUE
"ENSG00000285590","AC010291.1",0,0,FALSE,FALSE
"ENSG00000253331","AC008662.1",0,0,FALSE,FALSE
"ENSG00000253538","AC008662.2",0,0,FALSE,FALSE
"ENSG00000241956","AC109466.1",0,0,FALSE,FALSE
"ENSG00000253236","LINC02143",0,0,FALSE,FALSE
"ENSG00000285549","AC091973.1",0,0,FALSE,FALSE
"ENSG00000254066","LINC01938",0,0,FALSE,FALSE
"ENSG00000253693","AC008415.1",0,0,FALSE,FALSE
"ENSG00000254171","AC114321.1",0,0,FALSE,FALSE
